pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
13791,EQ,nse_cm,,PARSVNATH,PARSVNATH-EQ,,PARSVNATH,INE561H01026,,,,PARSVNATH DEVELOPER LTD,,,1,1,-1,-1,2,-1,NSE,,,849312000,,849312000,0,0,1411516800,1412121600,0,9.73-14.60,0,0,1449425572,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,8216656.00,1,0,1460,973,1,1,1,0,0,1,0,4.35181e+08,0,0,8216656,"EPS based on previous 4 trailing quarters in the scrip is zero,High low price variation was greater than 100% in previous 6 months"
14348,BL,nse_cm,,ORIENTALTL,ORIENTALTL-BL,,ORIENTALTL-BL,INE998H01012,,,,ORIENTAL TRIMEX LTD,,,1,1,-1,-1,2,-1,NSE,,,857692800,,857692800,0,0,0,0,1409961600,7.76-8.24,0,0,1449431137,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,2403687.00,1,0,824,776,1,1,1,0,0,1,0,7.35073e+07,0,0,2403687,
21686,BL,nse_cm,,BRNL,BRNL-BL,,BRNL-BL,INE727S01012,,,,BHARAT ROAD NETWORK LTD,,,1,1,-1,-1,2,-1,NSE,,,1190160000,,1190160000,0,0,0,0,1260144000,22.70-24.11,0,0,1449431145,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,2745164.00,1,0,2411,2270,1,1,1,0,0,1,0,8.395e+07,0,0,2745164,
30238,N1,nse_cm,,902SCL28,902SCL28-N1,,902SCL28-N1,INE148I07WU1,,,,SCL 9.02% SR V,,,1,1,-1,-1,2,-1,NSE,,,1426982400,,1426982400,0,0,0,0,1449273600,799.98-1199.97,0,0,1449419742,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,20601.00,1,0,119997,79998,1,1,1,0,0,1,0,630000,0,0,20601,
14086,EQ,nse_cm,,IGPL,IGPL-EQ,,IGPL,INE204A01010,,,,I G PETROCHEMICALS LTD,,,5,1,-1,-1,2,-1,NSE,,,854496000,,854496000,0,0,0,0,1438387200,316.75-475.05,0,0,1449425571,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,252579.00,1,0,47505,31675,1,1,1,0,0,1,0,3.07948e+07,0,0,252579,
1805,EQ,nse_cm,,KABRAEXTRU,KABRAEXTRU-EQ,,KABRAEXTRU,INE900B01029,,,,KABRA EXTRUSION TECHNIK L,,,1,1,-1,-1,2,-1,NSE,,,493603200,,494812800,0,0,0,0,1436486400,186.70-280.05,0,0,1449425572,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,428452.00,1,0,28005,18670,1,1,1,0,0,1,0,3.49728e+07,0,0,428452,High low price variation was greater than 150% in previous 12 months
25967,SG,nse_cm,,716TS47,716TS47-SG,,716TS47-SG,IN4520240354,,,,SDL TS 7.16% 2047,,,1,100,-1,-1,2,-1,NSE,,,1415145600,,1415145600,0,0,0,0,0,95.00-105.00,0,0,1449419741,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
8575,SG,nse_cm,,726HR32,726HR32-SG,,726HR32-SG,IN1620210204,,,,SDL HR 7.26% 2032,,,1,100,-1,-1,2,-1,NSE,,,1332633600,,1332633600,0,0,0,0,0,95.00-105.00,0,0,1449419737,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
23584,SG,nse_cm,,749TN34,749TN34-SG,,749TN34-SG,IN3120240038,,,,SDL TN 7.49% 2034,,,1,100,-1,-1,2,-1,NSE,,,1398556800,,1398556800,0,0,0,0,0,95.00-105.00,0,0,1449419741,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
5917,BL,nse_cm,,PARAS,PARAS-BL,,PARAS-BL,INE045601023,,,,PARAS DEF AND SPCE TECH L,,,5,1,-1,-1,2,-1,NSE,,,1317513600,,1317513600,0,0,0,0,1439078400,669.40-710.80,0,0,1449431121,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,141994.00,1,0,71080,66940,1,1,1,0,0,1,0,8.05873e+07,0,0,141994,
30087,SG,nse_cm,,723MP47,723MP47-SG,,723MP47-SG,IN2120240238,,,,SDL MP 7.23% 2047,,,1,100,-1,-1,2,-1,NSE,,,1426636800,,1426636800,0,0,0,0,0,95.00-105.00,0,0,1449419742,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
6727,BL,nse_cm,,MOLDTKPAC,MOLDTKPAC-BL,,MOLDTKPAC-BL,INE893J01029,,,,MOLD-TEK PACKAGING LTD,,,5,1,-1,-1,2,-1,NSE,,,1109116800,,1109116800,0,0,0,0,1443052800,565.45-600.35,0,0,1449431122,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,165901.00,1,0,60035,56545,1,1,1,0,0,1,0,3.31206e+07,0,0,165901,
