pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
531227,X,bse_cm,,DECOMIC,DECOMIC,,DECOMIC,INE907E01010,,,,DECO-MICA LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,2018-09-10,2018-09-26,2024-09-21,2024-09-27,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,7815,5211,1,1,1,0,0,1,0,-1,0,0,0,"The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
535458,B,bse_cm,,NIBL,NIBL,,NIBL,INE047O01014,,,,NRB INDUSTRIAL BEARINGS LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2025-02-06,2025-02-12,,,,,,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,3457,2305,1,1,1,0,0,1,0,-1,0,0,0,"EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
531027,X,bse_cm,,LIBORD,LIBORD,,LIBORD,INE267E01019,,,,LIBORD SECURITIES LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-19,2024-09-25,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,2584,2338,1,1,1,0,0,1,0,-1,0,0,0,"Stage 1 GSM scrip,The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
976974,F,bse_cm,,72959ABC28,72959ABC28,,72959ABC28,INE674K07069,,,,ABCL-7.2959%-15-9-28-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
939212,F,bse_cm,,850MFL27A,850MFL27A,,850MFL27A,INE414G07IV8,,,,MFL-8.50%-25-1-27-NCD,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,126751,84501,1,1,1,0,0,1,0,-1,0,0,0,
975442,F,bse_cm,,829SBICP34,829SBICP34,,829SBICP34,INE018E08359,,,,SBICPSL-8.29%-28-2-34-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+09,8e+08,1,1,1,0,0,1,0,-1,0,0,0,
976663,F,bse_cm,,990RGPL28,990RGPL28,,990RGPL28,INE0AY207061,,,,RGPL-9.90%-02-05-28-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
500125,A,bse_cm,,EIDPARRY,EIDPARRY,,EIDPARRY,INE126A01031,,,,E.I.D.-PARRY (INDIA) LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-08-07,2024-08-14,,,,,,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,123945,82635,1,1,1,0,0,1,0,-1,0,0,0,
513309,X,bse_cm,,GOLKONDA,GOLKONDA,,GOLKONDA,INE327C01031,,,,Golkonda Aluminium Extrusions,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-12-13,2024-12-19,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,845,693,1,1,1,0,0,1,0,-1,0,0,0,"Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,High low price variation was greater than 75% in previous 3 months"
938698,F,bse_cm,,750PFCL26,750PFCL26,,750PFCL26,INE134E07CF3,,,,PFC-750%-1-8-26-NCD,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,121464,80976,1,1,1,0,0,1,0,-1,0,0,0,
